case_id,status,status_detail,scenario,solver_mode,root_index,is_selected,v1_hat,v2_hat,in_support,F1_v1_hat,F2_v2_hat,m_star,v1_star,v2_star,F1_v1_star,F2_v2_star,GT_rhs,GT_condition,loader_error_code,loader_error_detail,min1,max1,min2,max2,a1,a2,c1,c2,p
m1=2_m2=1_p=0.3_c1=5.2_c2=11.3,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,9.905610249,1.720765032,true,0.5270406833,0.04805100211,15.05079365,15.66666667,15.42857143,0.9111111111,0.9619047619,0.0198019802,false,,,2,17,1,16,0.5,0.5,5.2,11.3,0.3
m1=2_m2=1_p=0.3_c1=5.2_c2=11.4,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,9.856046422,1.724214598,true,0.5237364281,0.04828097323,15.2047619,15.66666667,15.57142857,0.9111111111,0.9714285714,0.01470588235,false,,,2,17,1,16,0.5,0.5,5.2,11.4,0.3
m1=2_m2=1_p=0.3_c1=5.2_c2=11.5,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,9.806692151,1.727682547,true,0.5204461434,0.04851216983,15.35873016,15.66666667,15.71428571,0.9111111111,0.980952381,0.009708737864,false,,,2,17,1,16,0.5,0.5,5.2,11.5,0.3
m1=2_m2=1_p=0.3_c1=5.2_c2=11.6,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,9.757547771,1.731168908,true,0.5171698514,0.04874459385,15.51269841,15.66666667,15.85714286,0.9111111111,0.9904761905,0.004807692308,false,,,2,17,1,16,0.5,0.5,5.2,11.6,0.3
m1=2_m2=1_p=0.3_c1=5.3_c2=11.3,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,11.4583152,1.627178651,true,0.6305543468,0.04181191009,15.37142857,16,15.42857143,0.9333333333,0.9619047619,0.0198019802,false,,,2,17,1,16,0.5,0.5,5.3,11.3,0.3
m1=2_m2=1_p=0.3_c1=5.3_c2=11.4,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,11.41673926,1.629366796,true,0.6277826171,0.04195778637,15.52857143,16,15.57142857,0.9333333333,0.9714285714,0.01470588235,false,,,2,17,1,16,0.5,0.5,5.3,11.4,0.3
m1=2_m2=1_p=0.3_c1=5.3_c2=11.5,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,11.37527245,1.631564457,true,0.6250181631,0.04210429717,15.68571429,16,15.71428571,0.9333333333,0.980952381,0.009708737864,false,,,2,17,1,16,0.5,0.5,5.3,11.5,0.3
m1=2_m2=1_p=0.3_c1=5.3_c2=11.6,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,11.33391505,1.633771661,true,0.6222610033,0.04225144408,15.84285714,16,15.85714286,0.9333333333,0.9904761905,0.004807692308,false,,,2,17,1,16,0.5,0.5,5.3,11.6,0.3
m1=2_m2=1_p=0.3_c1=5.4_c2=11.3,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,13.171483,1.548587158,true,0.7447655332,0.03657247718,15.69206349,16.33333333,15.42857143,0.9555555556,0.9619047619,0.0198019802,false,,,2,17,1,16,0.5,0.5,5.4,11.3,0.3
m1=2_m2=1_p=0.3_c1=5.4_c2=11.4,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,13.14112106,1.549808184,true,0.7427414039,0.03665387895,15.85238095,16.33333333,15.57142857,0.9555555556,0.9714285714,0.01470588235,false,,,2,17,1,16,0.5,0.5,5.4,11.4,0.3
m1=2_m2=1_p=0.3_c1=5.4_c2=11.5,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,13.11080195,1.551032924,true,0.7407201299,0.03673552829,16.01269841,16.33333333,15.71428571,0.9555555556,0.980952381,0.009708737864,false,,,2,17,1,16,0.5,0.5,5.4,11.5,0.3
m1=2_m2=1_p=0.3_c1=5.4_c2=11.6,solver_has_valid_solution,bluffing_single_valid_root,bluffing,research,0,true,13.08052577,1.552261387,true,0.7387017183,0.0368174258,16.17301587,16.33333333,15.85714286,0.9555555556,0.9904761905,0.004807692308,false,,,2,17,1,16,0.5,0.5,5.4,11.6,0.3
